control,protein,setting,model,stratum,n_variants,n_positions,positives,negatives,common_ids,available_ids,metric,effect,ci_low,ci_high,source_sha256,hash_validated,status,reason,evidence
proximity_4A,PTEN,descriptive,site_distance,primary,45,10,31,14,,,0.6888888888888889,0.5331210711078456,,,,,PASS,descriptive near phenotype rate=0.688889 versus all-cohort rate=0.155768; difference=+0.533121; denominator n=45,D:\protein_assay_work\release_artifacts\task5_structure_mapping.csv
proximity_5A,PTEN,descriptive,site_distance,primary,56,13,36,20,,,0.6428571428571429,0.4870893250760996,,,,,PASS,descriptive near phenotype rate=0.642857 versus all-cohort rate=0.155768; difference=+0.487089; denominator n=56,D:\protein_assay_work\release_artifacts\task5_structure_mapping.csv
proximity_8A,PTEN,descriptive,site_distance,primary,120,27,75,45,,,0.625,0.4692321822189567,,,,,PASS,descriptive near phenotype rate=0.625000 versus all-cohort rate=0.155768; difference=+0.469232; denominator n=120,D:\protein_assay_work\release_artifacts\task5_structure_mapping.csv
permuted_labels,CYP2C9,direct,ESM1v_single_impairment,primary,694,262,412,282,,,0.6255067378222289,0.1687731886925995,,,fda5485f12a0db3b6c65acb5b2aa65d672c59e3236f6c22b93a16454f5f13f18,True,PASS,"Task 4 equal-size position-block null: observed AP=0.794280, null mean=0.625507, effect=+0.168773; external draw hash verified",results/metadata/task4_observed_permutation_summary.csv
permuted_labels,CYP2C9,direct,ESM2_650M_impairment,primary,694,262,412,282,,,0.6233495656042258,0.2142014578870982,,,fda5485f12a0db3b6c65acb5b2aa65d672c59e3236f6c22b93a16454f5f13f18,True,PASS,"Task 4 equal-size position-block null: observed AP=0.837551, null mean=0.623350, effect=+0.214201; external draw hash verified",results/metadata/task4_observed_permutation_summary.csv
permuted_labels,PTEN,direct,ESM1v_single_impairment,primary,1361,288,212,1149,,,0.1776810467956398,0.36500255234622103,,,fda5485f12a0db3b6c65acb5b2aa65d672c59e3236f6c22b93a16454f5f13f18,True,PASS,"Task 4 equal-size position-block null: observed AP=0.542684, null mean=0.177681, effect=+0.365003; external draw hash verified",results/metadata/task4_observed_permutation_summary.csv
permuted_labels,PTEN,direct,ESM2_650M_impairment,primary,1361,288,212,1149,,,0.1892616258166912,0.36947412591760326,,,fda5485f12a0db3b6c65acb5b2aa65d672c59e3236f6c22b93a16454f5f13f18,True,PASS,"Task 4 equal-size position-block null: observed AP=0.558736, null mean=0.189262, effect=+0.369474; external draw hash verified",results/metadata/task4_observed_permutation_summary.csv
opposite_or_no_improvement,CYP2C9,within-protein,B4-B2,primary,694,262,412,282,,,-0.08678827651790105,-0.08678827651790105,-0.16272524351396425,-0.011728200796578917,,,PASS,"paired B4-B2 AP effect retained, including negative or zero effects",results/metadata/task5_paired_bootstrap_summary.csv
opposite_or_no_improvement,PTEN,within-protein,B4-B2,primary,1361,288,212,1149,,,-0.020925080961675308,-0.020925080961675308,-0.11572997475470462,0.07097555998524709,,,PASS,"paired B4-B2 AP effect retained, including negative or zero effects",results/metadata/task5_paired_bootstrap_summary.csv
opposite_or_no_improvement,CYP2C9,held-out protein,B4-B2,primary,694,262,412,282,,,-0.00438448926421855,-0.00438448926421855,-0.035645447805388586,0.025207834438653445,,,PASS,"paired B4-B2 AP effect retained, including negative or zero effects",results/metadata/task5_paired_bootstrap_summary.csv
opposite_or_no_improvement,PTEN,held-out protein,B4-B2,primary,1361,288,212,1149,,,0.006846628451530098,0.006846628451530098,-0.040897190166749114,0.05023311411347278,,,PASS,"paired B4-B2 AP effect retained, including negative or zero effects",results/metadata/task5_paired_bootstrap_summary.csv
threshold_alternatives,CYP2C9,all,frozen,primary,694,262,412,282,,,,,,,,,NOT_APPLICABLE,NOT_RUN_POST_HOC: no alternative threshold was frozen before Task 4,config/analysis_freeze.yaml
threshold_alternatives,PTEN,all,frozen,primary,1361,288,212,1149,,,,,,,,,NOT_APPLICABLE,NOT_RUN_POST_HOC: no alternative threshold was frozen before Task 4,config/analysis_freeze.yaml
