score_source,protein,model,n_variants,n_positives,n_negatives,positives,negatives,prevalence,ap,ap_prevalence,ap_lift,auroc,valid
function-assay ProteinGym sensitivity,CYP2C9,ESM1v_single,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7942799265148284,1.337937546119638,1.337937546119638,0.7513513048268264,True
function-assay ProteinGym sensitivity,PTEN,ESM1v_single,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5426835991418608,3.483926313358833,3.483926313358833,0.7993291951984498,True
function-assay ProteinGym sensitivity,CYP2C9,ESM2_650M,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.837551023491324,1.4108262385994634,1.4108262385994634,0.7998175308131928,True
function-assay ProteinGym sensitivity,PTEN,ESM2_650M,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5587357517342945,3.5869781042942206,3.5869781042942206,0.8183982790613659,True
